nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000610	Giovanni Ribisi	1974	\N	actor,soundtrack,cinematographer	tt0499549,tt0346156,tt0181984,tt0120815

nm0000663	Dominique Swain	1980	\N	actress,producer,soundtrack	tt0119094,tt0119558,tt0426883,tt0203975

nm0000677	Robin Tunney	1972	\N	actress,soundtrack	tt0112950,tt0427969,tt0190865,tt0115963

nm0000701	Kate Winslet	1975	\N	actress,soundtrack	tt0338013,tt0114388,tt0959337,tt0120338

nm0000702	Reese Witherspoon	1976	\N	producer,actress,soundtrack	tt2305051,tt0358273,tt0126886,tt0250494

nm0000729	Casey Affleck	1975	\N	actor,producer,writer	tt0443680,tt4034228,tt1206543,tt0452623

nm0000775	Christina Applegate	1971	\N	actress,producer,soundtrack	tt0092400,tt0253867,tt0101757,tt4651520

nm0000782	Asia Argento	1975	\N	actress,director,writer	tt0368774,tt0218581,tt0295701,tt0418819

nm0000815	Mili Avital	1972	\N	actress,director,editor	tt0112817,tt0120723,tt0181199,tt0111282

nm0000924	Elizabeth Berkley	1972	\N	actress,soundtrack	tt0114436,tt0256524,tt1231277,tt0116313

nm0000969	Lillo Brancato	1976	\N	actor,producer	tt0110971,tt0112740,tt0120660,tt0106489

nm0000998	Jake Busey	1971	\N	actor,producer,music_department	tt0116365,tt4574334,tt0120201,tt8362852

nm0001038	Josh Charles	1971	\N	actor,director,soundtrack	tt0430105,tt0257076,tt0165961,tt0097165

nm0001043	Anna Chlumsky	1980	\N	actress	tt0110613,tt0113188,tt0102492,tt1759761

nm0001057	Toni Collette	1972	\N	actress,producer,soundtrack	tt0449059,tt7784604,tt0167404,tt0276751

nm0001068	Sofia Coppola	1971	\N	actress,director,writer	tt0099674,tt0159097,tt0335266,tt5592248

nm0001085	Kieran Culkin	1982	\N	actor	tt0280760,tt0446029,tt0124315,tt1333125

nm0001151	Stephen Dorff	1973	\N	actor,producer,soundtrack	tt1253864,tt1421051,tt0120611,tt1117385

nm0001176	Nicole Eggert	1972	\N	actress,producer,miscellaneous	tt0096542,tt0099743,tt0103843,tt0086681

nm0001197	Anna Falchi	1972	\N	actress,producer,executive	tt0109592,tt0111049,tt0109358,tt4142394

nm0001231	Claire Forlani	1971	\N	actress,producer	tt0288045,tt0460780,tt0119643,tt0132347

nm0001259	Jennie Garth	1972	\N	actress,producer,writer	tt0985692,tt0369910,tt0321018,tt0098749

nm0001264	Sarah Michelle Gellar	1977	\N	actress,producer,soundtrack	tt0139134,tt0119345,tt0267913,tt0118276

nm0001272	Annabeth Gish	1971	\N	actress	tt0115639,tt0095690,tt0113987,tt3174376

nm0001293	Seth Green	1974	\N	actor,music_department,producer	tt5566790,tt0437745,tt0317740,tt0295178

nm0001303	Carla Gugino	1971	\N	actress,producer,soundtrack	tt2126355,tt0765429,tt0409459,tt3748172

nm0001326	Josh Hartnett	1978	\N	actor,producer	tt0387877,tt0389722,tt0133751,tt0425210

nm0001337	Katherine Heigl	1978	\N	actress,producer,soundtrack	tt0478311,tt1142988,tt1598828,tt0413573

nm0001349	Jennifer Love Hewitt	1979	\N	actress,producer,soundtrack	tt0119345,tt0290095,tt0130018,tt0125022

nm0001386	Natalie Imbruglia	1975	\N	actress,soundtrack,composer	tt0274166,tt0775080,tt0245574,tt0139239

nm0001401	Angelina Jolie	1975	\N	actress,producer,director	tt1587310,tt0172493,tt0824747,tt1243957

nm0001432	Charlie Korsmo	1978	\N	actor	tt0099422,tt0103241,tt0127723,tt0102057

nm0001467	Jared Leto	1971	\N	actor,producer,director	tt0180093,tt0120863,tt1386697,tt0790636

nm0001477	Robyn Lively	1972	\N	actress	tt1204977,tt0097647,tt0098453,tt0092214

nm0001491	Melanie Lynskey	1977	\N	actress,soundtrack	tt0110005,tt1193138,tt4872078,tt3061830

nm0001506	Jane March	1973	\N	actress	tt0240793,tt0109456,tt0800320,tt0101316

nm0001515	Joseph Mazzello	1983	\N	actor,director,writer	tt0107290,tt1285016,tt0479495,tt1583421

nm0001540	Rachel Miner	1980	\N	actress,producer	tt1234541,tt0044265,tt0242193,tt0387877

nm0001543	Gretchen Mol	1972	\N	actress,soundtrack	tt0979432,tt0139809,tt0381849,tt4034228

nm0001551	Alanis Morissette	1974	\N	soundtrack,actress,composer	tt0120632,tt0363771,tt0458352,tt0120655

nm0001616	Mekhi Phifer	1974	\N	actor,producer,soundtrack	tt0298203,tt0322589,tt0363547,tt0108757

nm0001618	Joaquin Phoenix	1974	\N	actor,producer,soundtrack	tt0358273,tt1798709,tt1560747,tt0172495

nm0001619	Summer Phoenix	1978	\N	actress,soundtrack	tt0133751,tt0183056,tt0247199,tt0348155

nm0001631	Sarah Polley	1979	\N	actress,writer,producer	tt0363547,tt0120255,tt0314412,tt0139239

nm0001667	Jonathan Rhys Meyers	1977	\N	actor,producer,soundtrack	tt2306299,tt0758790,tt0437714,tt3300980

nm0001701	Devon Sawa	1978	\N	actor,director,writer	tt0112642,tt0195714,tt0138510,tt0114011

nm0001720	Ivan Sergei	1971	\N	actor,director,writer	tt0452594,tt0284718,tt0207889,tt0120777

nm0001721	Chloë Sevigny	1974	\N	actress,director,soundtrack	tt0421030,tt0171804,tt3068194

nm0001763	Nick Stahl	1979	\N	actor,producer,cinematographer	tt0401792,tt0107501,tt0181852,tt0247425

nm0001794	Henry Thomas	1971	\N	actor,producer,composer	tt4361050,tt0083866,tt0110322,tt0331811

nm0001860	Alicia Witt	1975	\N	actress,soundtrack,music_department	tt0411061,tt0087182,tt0146336,tt0259711

nm0001953	Moritz Bleibtreu	1971	\N	actor,producer,art_department	tt0130827,tt0119472,tt0177858,tt0250258

nm0001960	Romane Bohringer	1973	\N	actress,director,writer	tt0115561,tt0114702,tt8792898,tt0105032

nm0001965	Élodie Bouchez	1973	\N	actress,soundtrack,producer	tt0111019,tt0120449,tt0254199,tt0348876

nm0001971	Ewen Bremner	1972	\N	actor,producer,soundtrack	tt0451279,tt2763304,tt0117951,tt0370263

nm0002100	Marie Gillain	1975	\N	actress,soundtrack,director	tt0115478,tt1035736,tt0112387,tt0102465

nm0002105	Judith Godrèche	1972	\N	actress,writer,director	tt0117477,tt0120744,tt0283900,tt3844362

nm0002364	Dante Basco	1975	\N	actor,producer,writer	tt0102057,tt0179116,tt0346631,tt2139965

nm0002406	Harry Jay Knowles	1971	\N	actor,producer,writer	tt0101404,tt0133751,tt0306846,tt7171224

nm0002434	Cam Cronin	1972	\N	actor	tt0309593,tt0118480,tt0106179,tt0244627

nm0002436	Shannon Elizabeth	1973	\N	actress,producer,soundtrack	tt0163651,tt0252866,tt0261392,tt0245674

nm0002502	Yvann Thibaudeau	1973	\N	editor,actor,editorial_department	tt1048147,tt1486834,tt0316463,tt3480144

nm0002536	Emmy Rossum	1986	\N	actress,soundtrack,composer	tt0293508,tt0319262,tt1586680,tt0327056

nm0002546	Mena Suvari	1979	\N	actress,soundtrack,producer	tt0163651,tt0385700,tt0217630,tt0169547

nm0002800	Scott Levy	1971	\N	actor,producer,sound_department	tt0401462,tt6191714,tt6660148,tt1323595

nm0002907	Alexander Skarsgård	1976	\N	actor,producer,director	tt0918940,tt0844441,tt0999913,tt1527186

nm0002913	Chris Jaymes	1973	\N	actor,director,producer	tt3293548,tt0411008,tt0251744,tt0216997

nm0003082	Bailey Chase	1972	\N	actor	tt2975590,tt0830900,tt1836037,tt5345490

nm0003140	David Klein	1972	\N	cinematographer,camera_department,actor	tt0109445,tt0118842,tt1385867,tt0873886

nm0003383	John Serpe	1971	\N	writer,director,actor	tt0229400,tt0427449,tt4910718,tt0194421

nm0003630	Ryan Glorioso	1973	\N	casting_department,casting_director,actor	tt5016504,tt1837492,tt4947608,tt1790886

nm0003779	Alessandra Torresani	1987	\N	actress,producer	tt4052886,tt0799862,tt1844624,tt0898266

nm0004006	Colin Skelton	1976	\N	director,actor	tt0176269,tt0241950

nm0004030	John Karyus	1975	\N	actor,camera_department,art_department	tt4643048,tt2256858,tt2450186,tt0462485

nm0004036	Roger Dertinger	1973	\N	art_department,actor,cinematographer	tt0204679,tt0367631,tt0903627,tt0450340

nm0004266	Anne Hathaway	1982	\N	actress,soundtrack,producer	tt0758752,tt1707386,tt1084950,tt1345836

nm0004294	Nadia Bjorlin	1980	\N	actress,soundtrack	tt1695746,tt0780595,tt0058796,tt0364845

nm0004335	Hrithik Roshan	1974	\N	actor,music_department,miscellaneous	tt1562872,tt0449994,tt0323013,tt7485048

nm0004381	Emma de Caunes	1976	\N	actress,director,writer	tt0453451,tt0354899,tt0120405,tt0401383

nm0004395	Adam Scott	1973	\N	actor,producer,director	tt1720616,tt0838283,tt3850590,tt0359950

nm0004418	Kajol	1974	\N	actress,soundtrack	tt0248126,tt1188996,tt0439662,tt0172684

nm0004540	Darren Shahlavi	1972	2015	actor,stunts,miscellaneous	tt0297181,tt1053424,tt0409459,tt0369226

nm0004626	Kareena Kapoor	1980	\N	actress,soundtrack,music_department	tt0488414,tt1093370,tt1187043,tt1562871

nm0004694	Christina Aguilera	1980	\N	soundtrack,actress,composer	tt1126591,tt1839337,tt4877122,tt0203009

nm0004695	Jessica Alba	1981	\N	actress,cinematographer,producer	tt0985694,tt0401792,tt0486576,tt0120667

nm0004700	Tatyana Ali	1979	\N	actress,producer,soundtrack	tt0069658,tt0385726,tt0155776,tt0098800

nm0004709	Giuseppe Andrews	1979	\N	actor,director,writer	tt0120789,tt0165710,tt0303816,tt0151738

nm0004726	Lance Bass	1979	\N	actor,producer,soundtrack	tt0196229,tt0279286,tt0257516,tt0322968

nm0004736	Jason Behr	1973	\N	actor,soundtrack	tt0201391,tt0372873,tt0461703,tt0391198

nm0004741	Camilla Belle	1986	\N	actress,soundtrack,producer	tt0120791,tt0443649,tt0455857,tt0465580

nm0004747	Wes Bentley	1978	\N	actor,producer,soundtrack	tt0804516,tt0816692,tt1392170,tt0169547

nm0004748	Julie Benz	1972	\N	actress,soundtrack	tt0462499,tt2189221,tt1600194,tt0773262

nm0004754	Jessica Biel	1982	\N	actress,producer,soundtrack	tt0324216,tt0435705,tt1386703,tt0443543

nm0004757	Selma Blair	1972	\N	actress,producer	tt0253867,tt0411477,tt0167190,tt0139134

nm0004760	Jennifer Blanc-Biehn	1971	\N	actress,producer,director	tt2983922,tt2797642,tt0204993,tt1535616

nm0004761	Rachel Blanchard	1976	\N	actress	tt2802850,tt0387764,tt0373450,tt0863046

nm0004778	Adrien Brody	1973	\N	actor,producer,writer	tt0253474,tt1683526,tt1605783,tt2278388

nm0004783	Ryan Browning	1974	\N	actor	tt0245891,tt0261992,tt0366709,tt0118276

nm0004787	Saffron Burrows	1972	\N	actress,soundtrack	tt0200465,tt0149261,tt0332452,tt0490204

nm0004789	Amanda Bynes	1986	\N	actress,soundtrack	tt0427327,tt1282140,tt0454945,tt0286788

nm0004790	Scott Caan	1976	\N	actor,writer,director	tt0378109,tt0496806,tt0240772,tt0139699

nm0004793	Monica Calhoun	1971	\N	actress,producer	tt1362673,tt0168501,tt0119905,tt2083355

nm0004797	Bruno Campos	1973	\N	actor,soundtrack	tt0156196,tt0780521,tt0416658,tt0361217

nm0004800	Jessica Capshaw	1976	\N	actress,soundtrack,miscellaneous	tt0108052,tt0181689,tt0242998,tt0413573

nm0004802	Linda Cardellini	1975	\N	actress,soundtrack	tt2395427,tt0267913,tt0388795,tt0250494

nm0004846	Marisa Coughlan	1974	\N	actress,producer,writer	tt0247745,tt0265591,tt0240515,tt0133046

nm0004851	Penélope Cruz	1974	\N	actress,soundtrack,producer	tt0441909,tt0259711,tt1298650,tt0497465

nm0004861	Josie Davis	1973	\N	actress,producer,writer	tt0313043,tt0369179,tt0086681,tt0395843

nm0004875	Taye Diggs	1971	\N	actor,producer,soundtrack	tt0294870,tt0185371,tt0299658,tt0238380

nm0004898	Omar Epps	1973	\N	actor,music_department,producer	tt0199725,tt0219653,tt0113305,tt0412142

nm0004909	Joey Fatone	1977	\N	producer,actor,soundtrack	tt0259446,tt3760922,tt0204946,tt0279286

nm0004936	Ben Foster	1980	\N	actor,director,writer	tt2582782,tt0381849,tt3892172,tt0790712

nm0004941	Soleil Moon Frye	1976	\N	actress,director,soundtrack	tt0144289,tt0086787,tt0437745,tt0115341

nm0004950	Jennifer Garner	1972	\N	actress,producer,soundtrack	tt0285333,tt0337563,tt0287978,tt0467406

nm0004971	Mark-Paul Gosselaar	1974	\N	actor,soundtrack,director	tt1600199,tt5500158,tt0106079,tt1074206

nm0004977	Brian Austin Green	1973	\N	actor,producer,soundtrack	tt0366517,tt0851851,tt0098749,tt0078638

nm0004978	Adrian Grenier	1976	\N	actor,producer,director	tt0387199,tt0164114,tt1674771,tt0458352

nm0004988	Colin Hanks	1977	\N	actor,director,producer	tt0880578,tt0273923,tt0852713,tt0360717

nm0004993	Desmond Harrington	1976	\N	actor	tt5011816,tt0381798,tt1974419,tt0773262

nm0004997	Melissa Joan Hart	1976	\N	actress,producer,director	tt0101065,tt0164114,tt1597420,tt0115341

nm0004999	Shawn Hatosy	1975	\N	actor,director,writer	tt0133751,tt0426883,tt1299368,tt5574490

nm0005010	Lori Heuring	1973	\N	actress	tt0926129,tt1564367,tt0166924,tt0305224

nm0005013	Iben Hjejle	1971	\N	actress,writer	tt0146882,tt0282768,tt1034303,tt0164756

nm0005016	Alexandra Holden	1977	\N	actress	tt0157503,tt0302640,tt0308152,tt2294677

nm0005017	Katie Holmes	1978	\N	actress,producer,soundtrack	tt0134619,tt0810913,tt0372784,tt0118300

nm0005028	Kate Hudson	1979	\N	actress,soundtrack,producer	tt0251127,tt0181875,tt0901476,tt0770752

nm0005064	January Jones	1978	\N	actress,soundtrack	tt1401152,tt1270798,tt0338096,tt0804503

nm0005067	Tamala Jones	1974	\N	actress,producer	tt0118750,tt0127723,tt0181316,tt1219024

nm0005079	Josh Keaton	1979	\N	actor,music_department,soundtrack	tt5580664,tt0119282,tt1494772,tt0365498

nm0005080	Andrew Keegan	1979	\N	actor,producer	tt3334418,tt0147800,tt0116629,tt0222850

nm0005093	Regina King	1971	\N	actress,director,producer	tt0350258,tt0356470,tt7125860,tt0385307

nm0005096	Chris Kirkpatrick	1971	\N	actor,soundtrack,producer	tt0201694,tt0235918,tt0279286,tt4534164

nm0005098	Chris Klein	1979	\N	actor,soundtrack,producer	tt0277434,tt0126886,tt0163651,tt0433400

nm0005101	Harmony Korine	1973	\N	director,writer,actor	tt1488163,tt0119237,tt2101441,tt0113540

nm0005110	Ashton Kutcher	1978	\N	actor,producer,writer	tt0242423,tt0406816,tt0165598,tt0305711

nm0005123	Ali Larter	1976	\N	actress,music_department,producer	tt0309593,tt0250494,tt1198138,tt0195714

nm0005125	Sanaa Lathan	1971	\N	actress,producer,soundtrack	tt0370263,tt0120611,tt0199725,tt0437777

nm0005129	Joey Lawrence	1976	\N	actor,music_department,producer	tt0101050,tt0095776,tt0111901,tt1597420

nm0005132	Heath Ledger	1979	2008	actor,director,soundtrack	tt0388795,tt0468569,tt0147800,tt0183790

nm0005141	Sean Lennon	1975	\N	soundtrack,actor,composer	tt0369735,tt1322312,tt3579524,tt3727982

nm0005169	Natasha Lyonne	1979	\N	actress,writer,producer	tt2372162,tt0163651,tt0120831,tt0165710

nm0005188	James Marsden	1973	\N	actor,soundtrack	tt0461770,tt0988595,tt0120903,tt0427327

nm0005192	Kellie Martin	1975	\N	actress,producer,director	tt0108757,tt0096635,tt0113198,tt0113008

nm0005195	Monet Mazur	1976	\N	actress,producer	tt0369735,tt7414406,tt5992164,tt0426627

nm0005231	Dash Mihok	1974	\N	actor,soundtrack,director	tt0117509,tt0319262,tt0450314,tt1045658

nm0005248	Mari Morrow	1974	\N	actress,producer	tt1464174,tt0271668,tt0431114,tt0114857

nm0005253	Elisabeth Moss	1982	\N	actress,producer,soundtrack	tt3993894,tt2756032,tt0172493,tt5834204

nm0005256	Bridget Moynahan	1971	\N	actress,soundtrack	tt2911666,tt1217613,tt0399295,tt0343818

nm0005260	Frankie Muniz	1985	\N	actor,producer,soundtrack	tt0441796,tt0156812,tt0313911,tt0265298

nm0005261	Brittany Murphy	1977	2009	actress,soundtrack,producer	tt0112697,tt0172493,tt0298203,tt0305711

nm0005269	Corin Nemec	1971	\N	actor,producer,writer	tt1844770,tt0118480,tt0097553,tt0098888

nm0005272	Thomas Ian Nicholas	1980	\N	actor,producer,soundtrack	tt3576794,tt0878835,tt0292644,tt3154310

nm0005273	Alessandro Nivola	1972	\N	actor,producer,soundtrack	tt0163025,tt0298408,tt1800241,tt0119094

nm0005275	Brandy Norwood	1979	\N	actress,music_department,producer	tt0772137,tt0115275,tt0181739,tt0130018

nm0005286	Haley Joel Osment	1988	\N	actor,soundtrack,producer	tt0223897,tt0212720,tt0327137,tt0167404

nm0005302	Austin Peck	1971	\N	actor	tt0395843,tt0062595,tt0058796,tt0048845

nm0005305	Piper Perabo	1976	\N	actress,producer	tt0200550,tt1495708,tt0452598,tt0421994

nm0005311	Busy Philipps	1979	\N	actress,soundtrack,director	tt0866439,tt0381707,tt1441109,tt1001508

nm0005317	Carlos Ponce	1972	\N	actor,soundtrack,music_department	tt1078940,tt1436562,tt0367652,tt3079380

nm0005318	Carly Pope	1980	\N	actress,producer,camera_department	tt0380869,tt0417217,tt1535108,tt0202748

nm0005322	Sarah-Jane Potts	1976	\N	actress	tt0134247,tt0452568,tt0487189,tt0434124

nm0005326	Jaime Pressly	1977	\N	actress,soundtrack,producer	tt0460091,tt1155056,tt0277371,tt0398913

nm0005327	Freddie Prinze Jr.	1976	\N	actor,writer,producer	tt0331632,tt0267913,tt0119345,tt0160862

nm0005346	Tara Reid	1975	\N	actress,producer,soundtrack	tt0369226,tt0146336,tt0163651,tt0283111

nm0005350	Simon Rex	1974	\N	actor,soundtrack,producer	tt0795461,tt1232829,tt0426592,tt0306047

nm0005351	Ryan Reynolds	1976	\N	actor,producer,soundtrack	tt0458525,tt1431045,tt1462758,tt5463162

nm0005365	Vincent Riverside	1972	\N	actor	tt1075747,tt0212974,tt0295427,tt0251696

nm0005370	Kathleen Robertson	1973	\N	actress,producer,writer	tt0427969,tt0488887,tt0910812,tt0257106

nm0005378	Brande Roderick	1974	\N	actress	tt0364782,tt0335438,tt0462409,tt0489237

nm0005392	Keri Russell	1976	\N	actress,soundtrack	tt0317919,tt0473308,tt2103281,tt0426931

nm0005403	Jason Schwartzman	1980	\N	soundtrack,actor,music_department	tt0128445,tt0838221,tt1748122,tt0446029

nm0005405	Seann William Scott	1976	\N	actor,producer,writer	tt0242423,tt0252866,tt0328828,tt0163651

nm0005416	Vinessa Shaw	1976	\N	actress,director	tt0107120,tt0381849,tt0120663,tt0454841

nm0005420	Marley Shelton	1974	\N	actress	tt1077258,tt0263757,tt0151738,tt0258470

nm0005433	Jessica Simpson	1980	\N	actress,soundtrack,producer	tt0811138,tt0165598,tt0377818,tt0424993

nm0005438	Jeremy Sisto	1974	\N	actor,producer,writer	tt0473308,tt0295700,tt0112697,tt0303361

nm0005439	Azura Skye	1981	\N	actress	tt0479968,tt0191754,tt0235737,tt0219965

nm0005440	Kelly Slater	1972	\N	actor,producer,miscellaneous	tt0245891,tt0096542,tt0203755,tt0423294

nm0005442	Amy Smart	1976	\N	actress,producer,soundtrack	tt0289879,tt0165832,tt0433400,tt0215129

nm0005448	Marla Sokoloff	1980	\N	actress	tt0118437,tt0202402,tt0186589,tt0242423

nm0005462	Leslie Stefanson	1971	\N	actress	tt0269347,tt0119822,tt0144214,tt0217869

nm0005466	Julia Stiles	1981	\N	actress,director,writer	tt1045658,tt0206275,tt0147800,tt0466909

nm0005476	Hilary Swank	1974	\N	actress,producer,soundtrack	tt0171804,tt0431308,tt2398231,tt0405159

nm0005478	Larenz Tate	1975	\N	actor,producer,director	tt0375679,tt0266465,tt0350258,tt0107554

nm0005493	Justin Timberlake	1981	\N	soundtrack,actor,composer	tt1679335,tt1637688,tt2042568,tt1285016

nm0005497	Nicholle Tom	1978	\N	actress,producer,soundtrack	tt0106080,tt0106375,tt0247638,tt0103786

nm0005513	Alanna Ubach	1975	\N	actress,soundtrack,producer	tt0116361,tt0250494,tt0348333,tt2380307

nm0005517	Gabrielle Union	1972	\N	actress,producer,soundtrack	tt0204946,tt0147800,tt0301181,tt0172156

nm0005519	Wilmer Valderrama	1980	\N	actor,producer,soundtrack	tt0320244,tt0165598,tt1583420,tt0364845

nm0005520	Amber Valletta	1974	\N	actress,producer	tt0386588,tt0388482,tt0455760,tt1034032

nm0005527	Sofía Vergara	1972	\N	actress,producer,soundtrack	tt0383010,tt2967224,tt2002718,tt1442437

nm0005541	Marlon Wayans	1972	\N	actor,writer,producer	tt0430304,tt0381707,tt1046173,tt0116126

nm0005561	Luke Wilson	1971	\N	actor,director,writer	tt0302886,tt0265666,tt0387808,tt0115734

nm0005576	Drea de Matteo	1972	\N	actress	tt0398712,tt0141842,tt0244244,tt2402101

nm0005579	Christy Carlson Romano	1984	\N	actress,soundtrack,producer	tt0206511,tt3455826,tt7979492,tt0278866

nm0005599	Jérémie Elkaïm	1978	\N	actor,writer,soundtrack	tt1931470,tt2059244,tt0242795,tt4428800

nm0006433	Karisma Kapoor	1974	\N	actress,music_department	tt0248012,tt0117437,tt0118983,tt0255713

nm0006439	Erin Daniels	1972	\N	actress,director,writer	tt0251736,tt0330251,tt1315981,tt2132285

nm0006683	Vince Jolivette	1971	\N	producer,actor,writer	tt2101441,tt1426329,tt2479800,tt3521126

nm0006689	Preity Zinta	1975	\N	actress,producer,writer	tt0323013,tt0292490,tt0420332,tt0347304

nm0006721	Susan May Pratt	1974	\N	actress,soundtrack	tt0164114,tt0470055,tt4178092,tt0147800

nm0006764	Sonali Kulkarni	1974	\N	actress	tt0292490,tt0116002,tt0248185,tt0361411

nm0006801	Antoine Monot Jr.	1975	\N	actor,director,producer	tt0250258,tt0081860,tt3042408,tt0806910

nm0006843	Ron Smith	1974	\N	actor,producer,manager	tt0058796,tt7241654,tt7461372

nm0006969	Elizabeth Banks	1974	\N	actress,producer,director	tt1951265,tt1951264,tt0903657,tt1392170

nm0007012	Twinkle Khanna	1974	\N	actress,producer	tt0245825,tt0112459,tt0232079,tt0250452

nm0007018	Karimah Westbrook	1978	\N	actress,producer,writer	tt1152397,tt7414406,tt0376136,tt0491175

nm0007107	Urmila Matondkar	1974	\N	actress	tt0352314,tt0225029,tt0195231,tt0341266

nm0007114	Sonali Bendre	1975	\N	actress	tt0255212,tt0371536,tt0200087,tt0338690

nm0007228	Fardeen Khan	1972	\N	actor,soundtrack	tt0451833,tt1201557,tt0210920,tt0251756

nm0007314	Linus Aaberg	1977	\N	actor	tt0113576,tt0103421

nm0007404	Aamani	1973	\N	actress	tt0282554,tt0262608,tt0317070,tt6980546

nm0007580	Eileen Abad	1973	\N	actress	tt1464507,tt0307831,tt0300723,tt5378720

nm0007665	Coraje Ábalos	1972	\N	actor	tt0269750,tt0201943,tt2252208,tt0218948

nm0007711	Silvia Abascal	1979	\N	actress,writer,director	tt0385842,tt0467867,tt0201626,tt3828714

nm0007893	Amanda Abbington	1974	\N	actress	tt1475582,tt1502420,tt0927170,tt2310212

